,Δ len_01_norm_unicode,Δ len_02_dehyphen,Δ len_03_strip_summary,Δ len_04_smart_join,Δ len_05_cut_from_od,Δ len_06_norm_orden_dia,Δ len_07_strip_roster_stage,Δ len_08_strip_procedural,Δ len_09_postfix,Δ len_10_after_legal_cut,Δ len_11_final,Δ n_legal_blocks,Δ ratio_after_legal,Δ ratio_after_procedural,Δ ratio_after_summary
run_label,curr - prev,curr - prev,curr - prev,curr - prev,curr - prev,curr - prev,curr - prev,curr - prev,curr - prev,curr - prev,curr - prev,curr - prev,curr - prev,curr - prev,curr - prev
file_name,,,,,,,,,,,,,,,
47_2014-09-10_crr_5369.txt,0,0,-38,-33,-33,-33,3874,4025,4088,19585,19585,-3,0.7403850747694807,0.007141168124852215,0.0
47_2014-09-15_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-09-16_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-11-12_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-12-10_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-12-17_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-12-22_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-12-29_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2014-12-29_crr_6883.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2015-02-09_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2015-02-10_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
47_2015-02-13_crr.txt,0,0,-1568,-92,-92,-92,-92,-92,-92,-92,-93,0,0.0,0.0,0.0
48_2016-11-17_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
48_2016-11-24_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
48_2016-12-06_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
48_2016-12-07_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
48_2016-12-07_crr_5697.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
48_2016-12-13_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
48_2016-12-14_crr.txt,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
