,len_01_norm_unicode,len_01_norm_unicode,len_02_dehyphen,len_02_dehyphen,len_03_strip_summary,len_03_strip_summary,len_04_smart_join,len_04_smart_join,len_05_cut_from_od,len_05_cut_from_od,len_06_norm_orden_dia,len_06_norm_orden_dia,len_07_strip_roster_stage,len_07_strip_roster_stage,len_08_strip_procedural,len_08_strip_procedural,len_09_postfix,len_09_postfix,len_10_after_legal_cut,len_10_after_legal_cut,len_11_final,len_11_final,n_legal_blocks,n_legal_blocks,ratio_after_legal,ratio_after_legal,ratio_after_procedural,ratio_after_procedural,ratio_after_summary,ratio_after_summary
run_label,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev,curr,prev
file_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47_2012-09-12_crr.txt,259126,259126,259126,259126,227831,227831,227835,227835,143944,143944,143944,143944,142366,142366,141975,141975,140583,140583,113900,113900,113900,113900,7,7,0.810197534552542,0.810197534552542,0.9972535577314808,0.9972535577314808,0.8792286378055464,0.8792286378055464
47_2012-09-18_crr.txt,195827,195827,195827,195827,195420,195420,195365,195365,195365,195365,195365,195365,52308,52308,52084,52084,50981,50981,39815,39815,39815,39815,5,5,0.780977226809988,0.780977226809988,0.9957176722489868,0.9957176722489868,0.9979216349124482,0.9979216349124482
47_2012-09-18_crr_3689.txt,67925,67925,67925,67925,67925,67925,67886,67886,67886,67886,66505,66505,61414,61414,61160,61160,60176,60176,57255,57255,57255,57255,2,2,0.9514590534432332,0.9514590534432332,0.9958641352134692,0.9958641352134692,1.0,1.0
47_2012-09-25_crr.txt,654384,654384,654381,654381,651429,651429,651302,651302,585947,585947,585947,585947,578631,578631,577966,577966,563062,563062,536735,536735,536735,536735,7,7,0.9532431597230856,0.9532431597230856,0.9988507356156168,0.9988507356156168,0.9954843027946894,0.9954843027946894
47_2012-09-26_crr.txt,654384,654384,654381,654381,651429,651429,651302,651302,585947,585947,585947,585947,578631,578631,577966,577966,563062,563062,536735,536735,536735,536735,7,7,0.9532431597230856,0.9532431597230856,0.9988507356156168,0.9988507356156168,0.9954843027946894,0.9954843027946894
47_2012-10-02_crr.txt,193653,193653,193653,193653,161001,161001,160983,160983,67570,67570,67570,67570,66941,66941,66688,66688,65544,65544,60457,60457,60457,60457,3,3,0.922388014158428,0.922388014158428,0.996220552426764,0.996220552426764,0.8313891341729795,0.8313891341729795
47_2012-10-03_crr.txt,821042,821042,821039,821039,816741,816741,817088,817088,694961,694961,694961,694961,693159,693159,692806,692806,691671,691671,640483,640483,640483,640483,5,5,0.9259937166658716,0.9259937166658716,0.9994907373344356,0.9994907373344356,0.9947615347326934,0.9947615347326934
47_2012-10-09_crr.txt,241526,241526,241526,241526,238811,238811,238770,238770,207449,207449,207449,207449,205822,205822,205137,205137,200703,200703,182414,182414,182414,182414,2,2,0.9088753033088692,0.9088753033088692,0.9966718815286996,0.9966718815286996,0.9887589741891142,0.9887589741891142
47_2012-10-10_crr.txt,221622,221622,221622,221622,217525,217525,217456,217456,217456,217456,217456,217456,210268,210268,209106,209106,205064,205064,158001,158001,158001,158001,13,13,0.7704960402606016,0.7704960402606016,0.994473719253524,0.994473719253524,0.9815135681475666,0.9815135681475666
47_2012-10-16_crr.txt,90060,90060,90060,90060,86857,86857,86825,86825,31616,31616,31616,31616,31249,31249,31143,31143,30698,30698,30698,30698,30698,30698,0,0,1.0,1.0,0.9966078914525264,0.9966078914525264,0.9644348212302908,0.9644348212302908
47_2012-10-16_crr_3721.txt,45602,45602,45602,45602,44819,44819,44809,44809,44809,44809,44809,44809,42632,42632,42392,42392,42392,42392,31743,31743,31743,31743,1,1,0.7487969428193999,0.7487969428193999,0.9943704259711016,0.9943704259711016,0.9828297004517346,0.9828297004517346
47_2012-10-17_crr.txt,220257,220257,220257,220257,217040,217040,216993,216993,216993,216993,216993,216993,238,238,238,238,238,238,238,238,239,239,0,0,1.0,1.0,1.0,1.0,0.985394334799802,0.985394334799802
47_2012-10-23_crr.txt,646890,646890,646887,646887,646887,646887,646627,646627,480700,480700,480700,480700,480523,480523,480503,480503,478705,478705,478705,478705,478705,478705,0,0,1.0,1.0,0.9999583786832263,0.9999583786832263,0.9999953624263784,0.9999953624263784
